=== EFFECTIVE RECORD OFFSET ACCESS MAP ===
offset=0x40 count=26
  ref=0x02052da4 literal=0x02179f6c base_offset=0x4c dst=r1 -> access=0x02052dac ldrsh r3, [r1, r2] disp=+0x0
  ref=0x0205c9bc literal=0x02179f6c base_offset=0x4c dst=r1 -> access=0x0205c9dc ldrsh r0, [r1, r0] disp=+0x0
  ref=0x0205cb14 literal=0x02179f6c base_offset=0x4c dst=r0 -> access=0x0205cb1c ldrsh r0, [r0, r2] disp=+0x0
offset=0x4e count=3
  ref=0x0205ca7c literal=0x02179f6e base_offset=0x4e dst=r1 -> access=0x0205ca84 ldrsh r0, [r1, r0] disp=+0x0
  ref=0x0208bd30 literal=0x02179f6e base_offset=0x4e dst=r0 -> access=0x0208bd38 ldrsh r0, [r0, r2] disp=+0x0
  ref=0x0208bdb0 literal=0x02179f6e base_offset=0x4e dst=r0 -> access=0x0208bdb8 ldrsh r0, [r0, r1] disp=+0x0
offset=0x50 count=123
  ref=0x02036138 literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x02036140 ldr r2, [r3, r2] disp=+0x0
  ref=0x0203617c literal=0x02179f70 base_offset=0x50 dst=r4 -> access=0x02036184 ldr r1, [r4, r1] disp=+0x0
  ref=0x0203a308 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0203a310 ldr r0, [r0, r4] disp=+0x0
  ref=0x0203a7dc literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0203a7e4 ldr r0, [r1, r0] disp=+0x0
  ref=0x0203a9d8 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0203a9e0 ldr r1, [r1, r2] disp=+0x0
  ref=0x0203aa14 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0203aa1c ldr r0, [r0, r1] disp=+0x0
  ref=0x0203bcec literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0203bcf4 ldr r1, [r2, r4] disp=+0x0
  ref=0x0203bffc literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0203c004 ldr r0, [r1, r0] disp=+0x0
  ref=0x0203cb40 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0203cb48 ldr r2, [r2, r1] disp=+0x0
  ref=0x02046700 literal=0x02179f70 base_offset=0x50 dst=r4 -> access=0x02046704 ldr r4, [r4, r5] disp=+0x0
  ref=0x020468c8 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x020468d0 ldr r0, [r1, r0] disp=+0x0
  ref=0x02046a78 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02046a80 ldr r0, [r1, r0] disp=+0x0
  ref=0x02053ce4 literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x02053cec ldr r2, [r3, r2] disp=+0x0
  ref=0x02053ce4 literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x02053cf0 ldr r3, [r3, r4] disp=+0x0
  ref=0x02053f1c literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02053f20 ldr r1, [r1, r4] disp=+0x0
  ref=0x02053f5c literal=0x02179f70 base_offset=0x50 dst=r5 -> access=0x02053f60 ldr r1, [r5, r1] disp=+0x0
  ref=0x02053f5c literal=0x02179f70 base_offset=0x50 dst=r5 -> access=0x02053f6c ldr r1, [r5, r4] disp=+0x0
  ref=0x02054404 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x02054410 ldr r0, [r2, r0] disp=+0x0
  ref=0x02059a9c literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02059aa4 ldr r0, [r1, r0] disp=+0x0
  ref=0x0205ade0 literal=0x02179f70 base_offset=0x50 dst=r6 -> access=0x0205ade8 ldr r2, [r6, r2] disp=+0x0
  ref=0x0205bd34 literal=0x02179f70 base_offset=0x50 dst=r5 -> access=0x0205bd3c ldr r2, [r5, r2] disp=+0x0
  ref=0x0205c7b4 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0205c7bc ldr r1, [r2, r1] disp=+0x0
  ref=0x0205cc04 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0205cc08 ldr r2, [r2, r3] disp=+0x0
  ref=0x0205ddec literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x0205ddf4 ldr r2, [r3, r2] disp=+0x0
  ref=0x0205de48 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0205de50 ldr r0, [r2, r0] disp=+0x0
  ref=0x0205e064 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0205e06c ldr r0, [r2, r0] disp=+0x0
  ref=0x0205e270 literal=0x02179f70 base_offset=0x50 dst=r4 -> access=0x0205e278 ldr r3, [r4, r3] disp=+0x0
  ref=0x0205e4d8 literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x0205e4e0 ldr r3, [r3, r2] disp=+0x0
  ref=0x0205e83c literal=0x02179f70 base_offset=0x50 dst=r5 -> access=0x0205e844 ldr r1, [r5, r1] disp=+0x0
  ref=0x0205eb50 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0205eb58 ldr r0, [r1, r0] disp=+0x0
  ref=0x0205f210 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0205f218 ldr r2, [r2, r3] disp=+0x0
  ref=0x0205f4bc literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0205f4c4 ldr r0, [r2, r0] disp=+0x0
  ref=0x0205f594 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0205f59c ldr r0, [r2, r0] disp=+0x0
  ref=0x0205f89c literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0205f8a4 ldr r0, [r2, r0] disp=+0x0
  ref=0x0205f978 literal=0x02179f70 base_offset=0x50 dst=r4 -> access=0x0205f980 ldr r2, [r4, r5] disp=+0x0
  ref=0x0205fe04 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0205fe08 ldr r0, [r0, ip] disp=+0x0
  ref=0x0205ff60 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0205ff68 ldr r0, [r1, r0] disp=+0x0
  ref=0x02060190 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02060198 ldr r0, [r1, r0] disp=+0x0
  ref=0x02060240 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02060248 ldr r0, [r1, r0] disp=+0x0
  ref=0x020602e4 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x020602ec ldr r2, [r2, r1] disp=+0x0
  ref=0x020603ec literal=0x02179f70 base_offset=0x50 dst=r6 -> access=0x020603f4 ldr r0, [r6, r0] disp=+0x0
  ref=0x02060444 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0206044c ldr r0, [r1, r0] disp=+0x0
  ref=0x02060494 literal=0x02179f70 base_offset=0x50 dst=r6 -> access=0x0206049c ldr r6, [r6, r3] disp=+0x0
  ref=0x02060508 literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x02060510 ldr r0, [r3, r0] disp=+0x0
  ref=0x02060614 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0206061c ldr r0, [r1, r0] disp=+0x0
  ref=0x02060654 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0206065c ldr r2, [r1, r2] disp=+0x0
  ref=0x0206088c literal=0x02179f70 base_offset=0x50 dst=r6 -> access=0x02060894 ldr r3, [r6, r3] disp=+0x0
  ref=0x020608d0 literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x020608d8 ldr r0, [r3, r0] disp=+0x0
  ref=0x02085b04 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x02085b08 ldr r0, [r0, sb] disp=+0x0
  ref=0x02087794 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x02087798 ldr r0, [r0, r8] disp=+0x0
  ref=0x02089a30 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x02089a38 ldr r0, [r0, r1] disp=+0x0
  ref=0x02089b3c literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02089b4c ldr r0, [r1, r0] disp=+0x0
  ref=0x02089bc4 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02089bd4 ldr r0, [r1, r0] disp=+0x0
  ref=0x02089c78 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02089c88 ldr r0, [r1, r0] disp=+0x0
  ref=0x02089cc8 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02089cd8 ldr r0, [r1, r0] disp=+0x0
  ref=0x02089d18 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02089d28 ldr r0, [r1, r0] disp=+0x0
  ref=0x02089db8 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02089dc8 ldr r0, [r1, r0] disp=+0x0
  ref=0x0208a984 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0208a988 ldr r0, [r0, r2] disp=+0x0
  ref=0x0208aa10 literal=0x02179f70 base_offset=0x50 dst=r5 -> access=0x0208aa28 ldr r0, [r5, r0] disp=+0x0
  ref=0x0208aa10 literal=0x02179f70 base_offset=0x50 dst=r5 -> access=0x0208aa54 ldr r0, [r5, r2] disp=+0x0
  ref=0x0208abec literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0208abf4 ldr r0, [r0, r1] disp=+0x0
  ref=0x0208af08 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0208af10 ldr r0, [r0, r2] disp=+0x0
